id,Project Name,Number of dependencies with vulnerabilities (Before),Number of dependencies with vulnerabilities (After),Number of vulnerabilities (Before),Number of vulnerabilities (After),Low vulnerabilities (Before),Low vulnerabilities (After),Medium vulnerabilities (Before),Medium vulnerabilities (After),High vulnerabilities (Before),High vulnerabilities (After),Critical vulnerabilities (Before),Critical vulnerabilities (After),Build Tool,Tests,Project Type,Execution Time (s),Artifacts,Improved,javaVersion,countMajor,countMinor,countPatch,countPrerelease,countBuildmetadata
126,samuelalmeida95_giveMeBack-api,9,7,216,145,19,18,96,60,85,61,16,6,maven,False,open source,1174,7ee80fc3237cfd4301d8d6643287aac95b86c7b6,improvement,11,2,6,0,0,0
142,myui_btree4j,2,1,7,6,0,0,1,0,3,3,3,3,maven,False,open source,119,4688aee221eaf2cf8972556a35cd6c49278ef2e0,improvement,8,0,0,0,0,0
153,shivam1608_JMailTM,2,1,5,3,0,0,3,3,2,0,0,0,maven,False,open source,77,6052d0bc2856edf4f8423da2e7523066f9e31dcd,improvement,8,0,0,0,0,0
159,reljicd_spring-boot-shopping-cart,12,10,711,132,29,9,229,29,306,59,147,35,maven,False,open source,487,c57d356844ccb71b18fa0b6a4f6cf7b947ce7684,improvement,8,0,0,0,0,0
163,mthmulders_clocky,1,1,1,1,0,0,0,0,1,1,0,0,maven,False,open source,93,5987b05f530f456f1c456520852005c74667f426,no improvement,8,0,0,0,0,0
162,alvelchev_spring-practices-demo,11,6,147,106,28,14,36,21,69,57,14,14,maven,False,open source,598,ab9df6febba9252404a5d15f1320139ea89901d6,improvement,17,3,3,0,0,0
152,batuhaniskr_product-system,11,9,510,118,22,18,190,43,211,46,87,11,maven,False,open source,1316,d9a3665f88ab7c86c7381bf91cedf1cf571683b8,improvement,8,6,1,1,0,0
164,InfluxCommunity_influxdb3-java,4,4,10,10,2,2,5,5,3,3,0,0,maven,False,open source,365,a12fa649a8f9252616ca07c4b2a8b7aafce5f1de,no improvement,11,0,0,0,0,0
167,messenger4j_messenger4j,2,0,10,0,0,0,5,0,5,0,0,0,maven,False,open source,96,cf91467608f7a705496362b3140d7f5241d91a95,improvement,8,1,0,1,0,0
166,bjansen_swagger-schema-validator,2,2,12,12,3,3,4,4,5,5,0,0,maven,False,open source,117,c4d0b1d9c398b72f87fe56e26c7e9dcef78a57db,no improvement,8,0,0,0,0,0
168,Mixermachine_base-test,0,0,0,0,0,0,0,0,0,0,0,0,maven,False,open source,108,9ff0805e470db64f487f1ffb5220efc29a5274e7,no improvement,8,0,0,0,0,0
170,PGSSoft_HttpClientMock,0,0,0,0,0,0,0,0,0,0,0,0,maven,False,open source,72,7d0a27d9dff9470f1937595b2a9a5b0258729cd5,no improvement,11,0,0,0,0,0
138,berndruecker_camunda-7-springboot-amqp-microservice-cloud-example,11,7,327,146,24,13,135,68,145,57,23,8,maven,False,open source,2022,c1752727e685ef09eb5559a03e13de83dce57d7e,improvement,8,3,1,0,0,0
169,hazelcast_hazelcast-zookeeper,5,2,50,10,2,0,18,8,21,2,9,0,maven,False,open source,181,5388699e0062125c81fd06c0d8b5f044a6de9aab,improvement,8,0,5,0,0,0
